RefDes     X          Y          Rot.       Exact     (FREE)    Side
A1A        1635.0000  780.0000   000        EXACT     (FREE)    Top                           
A1B        1635.0000  1780.0000  000        EXACT     (FREE)    Top                           
A1C        1635.0000  2780.0000  000        EXACT     (FREE)    Top                           
A1D        1635.0000  3780.0000  000        EXACT     (FREE)    Top                           
A1E        1635.0000  4780.0000  000        EXACT     (FREE)    Top                           
A1F        1635.0000  5780.0000  000        EXACT     (FREE)    Top                           
A1G        1635.0000  6780.0000  000        EXACT     (FREE)    Top                           
A1H        1635.0000  7780.0000  000        EXACT     (FREE)    Top                           
A1I        1635.0000  8780.0000  000        EXACT     (FREE)    Top                           
A1J        1635.0000  9780.0000  000        EXACT     (FREE)    Top                           
A1K        1635.0000  10780.0000 000        EXACT     (FREE)    Top                           
A1L        1635.0000  11780.0000 000        EXACT     (FREE)    Top                           
A1M        10365.0000 11470.0000 180        EXACT     (FREE)    Top                           
A1N        10365.0000 10470.0000 180        EXACT     (FREE)    Top                           
A1O        10365.0000 9470.0000  180        EXACT     (FREE)    Top                           
A1P        10365.0000 8470.0000  180        EXACT     (FREE)    Top                           
A1Q        10365.0000 7470.0000  180        EXACT     (FREE)    Top                           
A1R        10365.0000 6470.0000  180        EXACT     (FREE)    Top                           
A1S        10365.0000 5470.0000  180        EXACT     (FREE)    Top                           
A1T        10365.0000 4470.0000  180        EXACT     (FREE)    Top                           
A1U        10365.0000 3470.0000  180        EXACT     (FREE)    Top                           
A1V        10365.0000 2470.0000  180        EXACT     (FREE)    Top                           
A1W        10365.0000 1470.0000  180        EXACT     (FREE)    Top                           
A1X        10365.0000 470.0000   180        EXACT     (FREE)    Top                           
A2A        1120.0000  460.0000   315        EXACT     (FREE)    Top                           
A2B        1120.0000  1460.0000  315        EXACT     (FREE)    Top                           
A2C        1120.0000  2460.0000  315        EXACT     (FREE)    Top                           
A2D        1120.0000  3460.0000  315        EXACT     (FREE)    Top                           
A2E        1120.0000  4460.0000  315        EXACT     (FREE)    Top                           
A2F        1120.0000  5460.0000  315        EXACT     (FREE)    Top                           
A2G        1120.0000  6460.0000  315        EXACT     (FREE)    Top                           
A2H        1120.0000  7460.0000  315        EXACT     (FREE)    Top                           
A2I        1120.0000  8460.0000  315        EXACT     (FREE)    Top                           
A2J        1120.0000  9460.0000  315        EXACT     (FREE)    Top                           
A2K        1120.0000  10460.0000 315        EXACT     (FREE)    Top                           
A2L        1120.0000  11460.0000 315        EXACT     (FREE)    Top                           
A2M        10880.0000 11790.0000 135        EXACT     (FREE)    Top                           
A2N        10880.0000 10790.0000 135        EXACT     (FREE)    Top                           
A2O        10880.0000 9790.0000  135        EXACT     (FREE)    Top                           
A2P        10880.0000 8790.0000  135        EXACT     (FREE)    Top                           
A2Q        10880.0000 7790.0000  135        EXACT     (FREE)    Top                           
A2R        10880.0000 6790.0000  135        EXACT     (FREE)    Top                           
A2S        10880.0000 5790.0000  135        EXACT     (FREE)    Top                           
A2T        10880.0000 4790.0000  135        EXACT     (FREE)    Top                           
A2U        10880.0000 3790.0000  135        EXACT     (FREE)    Top                           
A2V        10880.0000 2790.0000  135        EXACT     (FREE)    Top                           
A2W        10880.0000 1790.0000  135        EXACT     (FREE)    Top                           
A2X        10880.0000 790.0000   135        EXACT     (FREE)    Top                           
A3A        1520.9798  450.9872   180        EXACT     (FREE)    Bottom                        
A3B        1520.9798  1450.9872  180        EXACT     (FREE)    Bottom                        
A3C        1520.9798  2450.9872  180        EXACT     (FREE)    Bottom                        
A3D        1520.9798  3450.9872  180        EXACT     (FREE)    Bottom                        
A3E        1520.9798  4450.9872  180        EXACT     (FREE)    Bottom                        
A3F        1520.9798  5450.9872  180        EXACT     (FREE)    Bottom                        
A3G        1520.9798  6450.9872  180        EXACT     (FREE)    Bottom                        
A3H        1520.9798  7450.9872  180        EXACT     (FREE)    Bottom                        
A3I        1520.9798  8450.9872  180        EXACT     (FREE)    Bottom                        
A3J        1520.9798  9450.9872  180        EXACT     (FREE)    Bottom                        
A3K        1520.9798  10450.9872 180        EXACT     (FREE)    Bottom                        
A3L        1520.9798  11450.9872 180        EXACT     (FREE)    Bottom                        
A3M        10479.0202 11799.0128 000        EXACT     (FREE)    Bottom                        
A3N        10479.0202 10799.0128 000        EXACT     (FREE)    Bottom                        
A3O        10479.0202 9799.0128  000        EXACT     (FREE)    Bottom                        
A3P        10479.0202 8799.0128  000        EXACT     (FREE)    Bottom                        
A3Q        10479.0202 7799.0128  000        EXACT     (FREE)    Bottom                        
A3R        10479.0202 6799.0128  000        EXACT     (FREE)    Bottom                        
A3S        10479.0202 5799.0128  000        EXACT     (FREE)    Bottom                        
A3T        10479.0202 4799.0128  000        EXACT     (FREE)    Bottom                        
A3U        10479.0202 3799.0128  000        EXACT     (FREE)    Bottom                        
A3V        10479.0202 2799.0128  000        EXACT     (FREE)    Bottom                        
A3W        10479.0202 1799.0128  000        EXACT     (FREE)    Bottom                        
A3X        10479.0202 799.0128   000        EXACT     (FREE)    Bottom                        
C1         2385.0000  970.0000   000        EXACT     (FREE)    Bottom                        
C1A        900.0000   780.0000   180        EXACT     (FREE)    Top                           
C1B        900.0000   1780.0000  180        EXACT     (FREE)    Top                           
C1C        900.0000   2780.0000  180        EXACT     (FREE)    Top                           
C1D        900.0000   3780.0000  180        EXACT     (FREE)    Top                           
C1E        900.0000   4780.0000  180        EXACT     (FREE)    Top                           
C1F        900.0000   5780.0000  180        EXACT     (FREE)    Top                           
C1G        900.0000   6780.0000  180        EXACT     (FREE)    Top                           
C1H        900.0000   7780.0000  180        EXACT     (FREE)    Top                           
C1I        900.0000   8780.0000  180        EXACT     (FREE)    Top                           
C1J        900.0000   9780.0000  180        EXACT     (FREE)    Top                           
C1K        900.0000   10780.0000 180        EXACT     (FREE)    Top                           
C1L        900.0000   11780.0000 180        EXACT     (FREE)    Top                           
C1M        11100.0000 11470.0000 000        EXACT     (FREE)    Top                           
C1N        11100.0000 10470.0000 000        EXACT     (FREE)    Top                           
C1O        11100.0000 9470.0000  000        EXACT     (FREE)    Top                           
C1P        11100.0000 8470.0000  000        EXACT     (FREE)    Top                           
C1Q        11100.0000 7470.0000  000        EXACT     (FREE)    Top                           
C1R        11100.0000 6470.0000  000        EXACT     (FREE)    Top                           
C1S        11100.0000 5470.0000  000        EXACT     (FREE)    Top                           
C1T        11100.0000 4470.0000  000        EXACT     (FREE)    Top                           
C1U        11100.0000 3470.0000  000        EXACT     (FREE)    Top                           
C1V        11100.0000 2470.0000  000        EXACT     (FREE)    Top                           
C1W        11100.0000 1470.0000  000        EXACT     (FREE)    Top                           
C1X        11100.0000 470.0000   000        EXACT     (FREE)    Top                           
C2         1835.9100  612.6000   270        EXACT     (FREE)    Top                           
C2A        1260.0000  670.0000   315        EXACT     (FREE)    Top                           
C2B        1260.0000  1670.0000  315        EXACT     (FREE)    Top                           
C2C        1260.0000  2670.0000  315        EXACT     (FREE)    Top                           
C2D        1260.0000  3670.0000  315        EXACT     (FREE)    Top                           
C2E        1260.0000  4670.0000  315        EXACT     (FREE)    Top                           
C2F        1260.0000  5670.0000  315        EXACT     (FREE)    Top                           
C2G        1260.0000  6670.0000  315        EXACT     (FREE)    Top                           
C2H        1260.0000  7670.0000  315        EXACT     (FREE)    Top                           
C2I        1260.0000  8670.0000  315        EXACT     (FREE)    Top                           
C2J        1260.0000  9670.0000  315        EXACT     (FREE)    Top                           
C2K        1260.0000  10670.0000 315        EXACT     (FREE)    Top                           
C2L        1260.0000  11670.0000 315        EXACT     (FREE)    Top                           
C2M        10740.0000 11580.0000 135        EXACT     (FREE)    Top                           
C2N        10740.0000 10580.0000 135        EXACT     (FREE)    Top                           
C2O        10740.0000 9580.0000  135        EXACT     (FREE)    Top                           
C2P        10740.0000 8580.0000  135        EXACT     (FREE)    Top                           
C2Q        10740.0000 7580.0000  135        EXACT     (FREE)    Top                           
C2R        10740.0000 6580.0000  135        EXACT     (FREE)    Top                           
C2S        10740.0000 5580.0000  135        EXACT     (FREE)    Top                           
C2T        10740.0000 4580.0000  135        EXACT     (FREE)    Top                           
C2U        10740.0000 3580.0000  135        EXACT     (FREE)    Top                           
C2V        10740.0000 2580.0000  135        EXACT     (FREE)    Top                           
C2W        10740.0000 1580.0000  135        EXACT     (FREE)    Top                           
C2X        10740.0000 580.0000   135        EXACT     (FREE)    Top                           
C3         2042.0656  601.9344   000        EXACT     (FREE)    Top                           
C3A        1427.5000  660.0000   000        EXACT     (FREE)    Top                           
C3B        1427.5000  1660.0000  000        EXACT     (FREE)    Top                           
C3C        1427.5000  2660.0000  000        EXACT     (FREE)    Top                           
C3D        1427.5000  3660.0000  000        EXACT     (FREE)    Top                           
C3E        1427.5000  4660.0000  000        EXACT     (FREE)    Top                           
C3F        1427.5000  5660.0000  000        EXACT     (FREE)    Top                           
C3G        1427.5000  6660.0000  000        EXACT     (FREE)    Top                           
C3H        1427.5000  7660.0000  000        EXACT     (FREE)    Top                           
C3I        1427.5000  8660.0000  000        EXACT     (FREE)    Top                           
C3J        1427.5000  9660.0000  000        EXACT     (FREE)    Top                           
C3K        1427.5000  10660.0000 000        EXACT     (FREE)    Top                           
C3L        1427.5000  11660.0000 000        EXACT     (FREE)    Top                           
C3M        10572.5000 11590.0000 180        EXACT     (FREE)    Top                           
C3N        10572.5000 10590.0000 180        EXACT     (FREE)    Top                           
C3O        10572.5000 9590.0000  180        EXACT     (FREE)    Top                           
C3P        10572.5000 8590.0000  180        EXACT     (FREE)    Top                           
C3Q        10572.5000 7590.0000  180        EXACT     (FREE)    Top                           
C3R        10572.5000 6590.0000  180        EXACT     (FREE)    Top                           
C3S        10572.5000 5590.0000  180        EXACT     (FREE)    Top                           
C3T        10572.5000 4590.0000  180        EXACT     (FREE)    Top                           
C3U        10572.5000 3590.0000  180        EXACT     (FREE)    Top                           
C3V        10572.5000 2590.0000  180        EXACT     (FREE)    Top                           
C3W        10572.5000 1590.0000  180        EXACT     (FREE)    Top                           
C3X        10572.5000 590.0000   180        EXACT     (FREE)    Top                           
C4         2040.0000  715.0000   000        EXACT     (FREE)    Top                           
C4A        1580.0000  675.0000   090        EXACT     (FREE)    Top                           
C4B        1580.0000  1675.0000  090        EXACT     (FREE)    Top                           
C4C        1580.0000  2675.0000  090        EXACT     (FREE)    Top                           
C4D        1580.0000  3675.0000  090        EXACT     (FREE)    Top                           
C4E        1580.0000  4675.0000  090        EXACT     (FREE)    Top                           
C4F        1580.0000  5675.0000  090        EXACT     (FREE)    Top                           
C4G        1580.0000  6675.0000  090        EXACT     (FREE)    Top                           
C4H        1580.0000  7675.0000  090        EXACT     (FREE)    Top                           
C4I        1580.0000  8675.0000  090        EXACT     (FREE)    Top                           
C4J        1580.0000  9675.0000  090        EXACT     (FREE)    Top                           
C4K        1580.0000  10675.0000 090        EXACT     (FREE)    Top                           
C4L        1580.0000  11675.0000 090        EXACT     (FREE)    Top                           
C4M        10420.0000 11575.0000 270        EXACT     (FREE)    Top                           
C4N        10420.0000 10575.0000 270        EXACT     (FREE)    Top                           
C4O        10420.0000 9575.0000  270        EXACT     (FREE)    Top                           
C4P        10420.0000 8575.0000  270        EXACT     (FREE)    Top                           
C4Q        10420.0000 7575.0000  270        EXACT     (FREE)    Top                           
C4R        10420.0000 6575.0000  270        EXACT     (FREE)    Top                           
C4S        10420.0000 5575.0000  270        EXACT     (FREE)    Top                           
C4T        10420.0000 4575.0000  270        EXACT     (FREE)    Top                           
C4U        10420.0000 3575.0000  270        EXACT     (FREE)    Top                           
C4V        10420.0000 2575.0000  270        EXACT     (FREE)    Top                           
C4W        10420.0000 1575.0000  270        EXACT     (FREE)    Top                           
C4X        10420.0000 575.0000   270        EXACT     (FREE)    Top                           
C5         2380.0000  1970.0000  000        EXACT     (FREE)    Bottom                        
C5A        2040.0000  780.0000   180        EXACT     (FREE)    Top                           
C5B        2040.0000  1780.0000  180        EXACT     (FREE)    Top                           
C5C        2040.0000  2780.0000  180        EXACT     (FREE)    Top                           
C5D        2040.0000  3780.0000  180        EXACT     (FREE)    Top                           
C5E        2040.0000  4780.0000  180        EXACT     (FREE)    Top                           
C5F        2040.0000  5780.0000  180        EXACT     (FREE)    Top                           
C5G        2040.0000  6780.0000  180        EXACT     (FREE)    Top                           
C5H        2040.0000  7780.0000  180        EXACT     (FREE)    Top                           
C5I        2040.0000  8780.0000  180        EXACT     (FREE)    Top                           
C5J        2040.0000  9780.0000  180        EXACT     (FREE)    Top                           
C5K        2040.0000  10780.0000 180        EXACT     (FREE)    Top                           
C5L        2040.0000  11780.0000 180        EXACT     (FREE)    Top                           
C5M        9960.0000  11470.0000 000        EXACT     (FREE)    Top                           
C5N        9960.0000  10470.0000 000        EXACT     (FREE)    Top                           
C5O        9960.0000  9470.0000  000        EXACT     (FREE)    Top                           
C5P        9960.0000  8470.0000  000        EXACT     (FREE)    Top                           
C5Q        9960.0000  7470.0000  000        EXACT     (FREE)    Top                           
C5R        9960.0000  6470.0000  000        EXACT     (FREE)    Top                           
C5S        9960.0000  5470.0000  000        EXACT     (FREE)    Top                           
C5T        9960.0000  4470.0000  000        EXACT     (FREE)    Top                           
C5U        9960.0000  3470.0000  000        EXACT     (FREE)    Top                           
C5V        9960.0000  2470.0000  000        EXACT     (FREE)    Top                           
C5W        9960.0000  1470.0000  000        EXACT     (FREE)    Top                           
C5X        9960.0000  470.0000   000        EXACT     (FREE)    Top                           
C6         2184.0000  895.0000   135        EXACT     (FREE)    Top                           
C6A        1030.0000  530.0000   270        EXACT     (FREE)    Top                           
C6B        1030.0000  1530.0000  270        EXACT     (FREE)    Top                           
C6C        1030.0000  2530.0000  270        EXACT     (FREE)    Top                           
C6D        1030.0000  3530.0000  270        EXACT     (FREE)    Top                           
