PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
RFSA3713	A1A	QFN50P300X300X60-16N	17	Top	0	1635	780	Yes	No
RFSA3713	A1B	QFN50P300X300X60-16N	17	Top	0	1635	1780	Yes	No
RFSA3713	A1C	QFN50P300X300X60-16N	17	Top	0	1635	2780	Yes	No
RFSA3713	A1D	QFN50P300X300X60-16N	17	Top	0	1635	3780	Yes	No
RFSA3713	A1E	QFN50P300X300X60-16N	17	Top	0	1635	4780	Yes	No
RFSA3713	A1F	QFN50P300X300X60-16N	17	Top	0	1635	5780	Yes	No
RFSA3713	A1G	QFN50P300X300X60-16N	17	Top	0	1635	6780	Yes	No
RFSA3713	A1H	QFN50P300X300X60-16N	17	Top	0	1635	7780	Yes	No
RFSA3713	A1I	QFN50P300X300X60-16N	17	Top	0	1635	8780	Yes	No
RFSA3713	A1J	QFN50P300X300X60-16N	17	Top	0	1635	9780	Yes	No
RFSA3713	A1K	QFN50P300X300X60-16N	17	Top	0	1635	10780	Yes	No
RFSA3713	A1L	QFN50P300X300X60-16N	17	Top	0	1635	11780	Yes	No
RFSA3713	A1M	QFN50P300X300X60-16N	17	Top	180	10365	11470	Yes	No
RFSA3713	A1N	QFN50P300X300X60-16N	17	Top	180	10365	10470	Yes	No
RFSA3713	A1O	QFN50P300X300X60-16N	17	Top	180	10365	9470	Yes	No
RFSA3713	A1P	QFN50P300X300X60-16N	17	Top	180	10365	8470	Yes	No
RFSA3713	A1Q	QFN50P300X300X60-16N	17	Top	180	10365	7470	Yes	No
RFSA3713	A1R	QFN50P300X300X60-16N	17	Top	180	10365	6470	Yes	No
RFSA3713	A1S	QFN50P300X300X60-16N	17	Top	180	10365	5470	Yes	No
RFSA3713	A1T	QFN50P300X300X60-16N	17	Top	180	10365	4470	Yes	No
RFSA3713	A1U	QFN50P300X300X60-16N	17	Top	180	10365	3470	Yes	No
RFSA3713	A1V	QFN50P300X300X60-16N	17	Top	180	10365	2470	Yes	No
RFSA3713	A1W	QFN50P300X300X60-16N	17	Top	180	10365	1470	Yes	No
RFSA3713	A1X	QFN50P300X300X60-16N	17	Top	180	10365	470	Yes	No
RFSA3713	A2A	QFN50P300X300X60-16N	17	Top	315	1120	460	Yes	No
RFSA3713	A2B	QFN50P300X300X60-16N	17	Top	315	1120	1460	Yes	No
RFSA3713	A2C	QFN50P300X300X60-16N	17	Top	315	1120	2460	Yes	No
RFSA3713	A2D	QFN50P300X300X60-16N	17	Top	315	1120	3460	Yes	No
RFSA3713	A2E	QFN50P300X300X60-16N	17	Top	315	1120	4460	Yes	No
RFSA3713	A2F	QFN50P300X300X60-16N	17	Top	315	1120	5460	Yes	No
RFSA3713	A2G	QFN50P300X300X60-16N	17	Top	315	1120	6460	Yes	No
RFSA3713	A2H	QFN50P300X300X60-16N	17	Top	315	1120	7460	Yes	No
RFSA3713	A2I	QFN50P300X300X60-16N	17	Top	315	1120	8460	Yes	No
RFSA3713	A2J	QFN50P300X300X60-16N	17	Top	315	1120	9460	Yes	No
RFSA3713	A2K	QFN50P300X300X60-16N	17	Top	315	1120	10460	Yes	No
RFSA3713	A2L	QFN50P300X300X60-16N	17	Top	315	1120	11460	Yes	No
RFSA3713	A2M	QFN50P300X300X60-16N	17	Top	135	10880	11790	Yes	No
RFSA3713	A2N	QFN50P300X300X60-16N	17	Top	135	10880	10790	Yes	No
RFSA3713	A2O	QFN50P300X300X60-16N	17	Top	135	10880	9790	Yes	No
RFSA3713	A2P	QFN50P300X300X60-16N	17	Top	135	10880	8790	Yes	No
RFSA3713	A2Q	QFN50P300X300X60-16N	17	Top	135	10880	7790	Yes	No
RFSA3713	A2R	QFN50P300X300X60-16N	17	Top	135	10880	6790	Yes	No
RFSA3713	A2S	QFN50P300X300X60-16N	17	Top	135	10880	5790	Yes	No
RFSA3713	A2T	QFN50P300X300X60-16N	17	Top	135	10880	4790	Yes	No
RFSA3713	A2U	QFN50P300X300X60-16N	17	Top	135	10880	3790	Yes	No
RFSA3713	A2V	QFN50P300X300X60-16N	17	Top	135	10880	2790	Yes	No
RFSA3713	A2W	QFN50P300X300X60-16N	17	Top	135	10880	1790	Yes	No
RFSA3713	A2X	QFN50P300X300X60-16N	17	Top	135	10880	790	Yes	No
PAT05S	A3A	PAT05S	4	Bottom	180	1520.98	450.987	Yes	No
PAT05S	A3B	PAT05S	4	Bottom	180	1520.98	1450.987	Yes	No
PAT05S	A3C	PAT05S	4	Bottom	180	1520.98	2450.987	Yes	No
PAT05S	A3D	PAT05S	4	Bottom	180	1520.98	3450.987	Yes	No
PAT05S	A3E	PAT05S	4	Bottom	180	1520.98	4450.987	Yes	No
PAT05S	A3F	PAT05S	4	Bottom	180	1520.98	5450.987	Yes	No
PAT05S	A3G	PAT05S	4	Bottom	180	1520.98	6450.987	Yes	No
PAT05S	A3H	PAT05S	4	Bottom	180	1520.98	7450.987	Yes	No
PAT05S	A3I	PAT05S	4	Bottom	180	1520.98	8450.987	Yes	No
PAT05S	A3J	PAT05S	4	Bottom	180	1520.98	9450.987	Yes	No
PAT05S	A3K	PAT05S	4	Bottom	180	1520.98	10450.987	Yes	No
PAT05S	A3L	PAT05S	4	Bottom	180	1520.98	11450.987	Yes	No
PAT05S	A3M	PAT05S	4	Bottom	0	10479.02	11799.013	Yes	No
PAT05S	A3N	PAT05S	4	Bottom	0	10479.02	10799.013	Yes	No
PAT05S	A3O	PAT05S	4	Bottom	0	10479.02	9799.013	Yes	No
PAT05S	A3P	PAT05S	4	Bottom	0	10479.02	8799.013	Yes	No
PAT05S	A3Q	PAT05S	4	Bottom	0	10479.02	7799.013	Yes	No
PAT05S	A3R	PAT05S	4	Bottom	0	10479.02	6799.013	Yes	No
PAT05S	A3S	PAT05S	4	Bottom	0	10479.02	5799.013	Yes	No
PAT05S	A3T	PAT05S	4	Bottom	0	10479.02	4799.013	Yes	No
PAT05S	A3U	PAT05S	4	Bottom	0	10479.02	3799.013	Yes	No
PAT05S	A3V	PAT05S	4	Bottom	0	10479.02	2799.013	Yes	No
PAT05S	A3W	PAT05S	4	Bottom	0	10479.02	1799.013	Yes	No
PAT05S	A3X	PAT05S	4	Bottom	0	10479.02	799.013	Yes	No
CAPACITOR_LST	C1	CAP1005L	2	Bottom	0	2385	970	Yes	No
CAPACITOR_LST	C1A	CAP1005L	2	Top	180	900	780	Yes	No
CAPACITOR_LST	C1B	CAP1005L	2	Top	180	900	1780	Yes	No
CAPACITOR_LST	C1C	CAP1005L	2	Top	180	900	2780	Yes	No
CAPACITOR_LST	C1D	CAP1005L	2	Top	180	900	3780	Yes	No
CAPACITOR_LST	C1E	CAP1005L	2	Top	180	900	4780	Yes	No
CAPACITOR_LST	C1F	CAP1005L	2	Top	180	900	5780	Yes	No
CAPACITOR_LST	C1G	CAP1005L	2	Top	180	900	6780	Yes	No
CAPACITOR_LST	C1H	CAP1005L	2	Top	180	900	7780	Yes	No
CAPACITOR_LST	C1I	CAP1005L	2	Top	180	900	8780	Yes	No
CAPACITOR_LST	C1J	CAP1005L	2	Top	180	900	9780	Yes	No
CAPACITOR_LST	C1K	CAP1005L	2	Top	180	900	10780	Yes	No
CAPACITOR_LST	C1L	CAP1005L	2	Top	180	900	11780	Yes	No
CAPACITOR_LST	C1M	CAP1005L	2	Top	0	11100	11470	Yes	No
CAPACITOR_LST	C1N	CAP1005L	2	Top	0	11100	10470	Yes	No
CAPACITOR_LST	C1O	CAP1005L	2	Top	0	11100	9470	Yes	No
CAPACITOR_LST	C1P	CAP1005L	2	Top	0	11100	8470	Yes	No
CAPACITOR_LST	C1Q	CAP1005L	2	Top	0	11100	7470	Yes	No
CAPACITOR_LST	C1R	CAP1005L	2	Top	0	11100	6470	Yes	No
CAPACITOR_LST	C1S	CAP1005L	2	Top	0	11100	5470	Yes	No
CAPACITOR_LST	C1T	CAP1005L	2	Top	0	11100	4470	Yes	No
CAPACITOR_LST	C1U	CAP1005L	2	Top	0	11100	3470	Yes	No
CAPACITOR_LST	C1V	CAP1005L	2	Top	0	11100	2470	Yes	No
CAPACITOR_LST	C1W	CAP1005L	2	Top	0	11100	1470	Yes	No
CAPACITOR_LST	C1X	CAP1005L	2	Top	0	11100	470	Yes	No
CAPACITOR_LST	C2	CAP1005L	2	Top	270	1835.91	612.6	Yes	No
CAPACITOR_LST	C2A	CAP1005L	2	Top	315	1260	670	Yes	No
CAPACITOR_LST	C2B	CAP1005L	2	Top	315	1260	1670	Yes	No
CAPACITOR_LST	C2C	CAP1005L	2	Top	315	1260	2670	Yes	No
CAPACITOR_LST	C2D	CAP1005L	2	Top	315	1260	3670	Yes	No
CAPACITOR_LST	C2E	CAP1005L	2	Top	315	1260	4670	Yes	No
CAPACITOR_LST	C2F	CAP1005L	2	Top	315	1260	5670	Yes	No
CAPACITOR_LST	C2G	CAP1005L	2	Top	315	1260	6670	Yes	No
CAPACITOR_LST	C2H	CAP1005L	2	Top	315	1260	7670	Yes	No
CAPACITOR_LST	C2I	CAP1005L	2	Top	315	1260	8670	Yes	No
CAPACITOR_LST	C2J	CAP1005L	2	Top	315	1260	9670	Yes	No
CAPACITOR_LST	C2K	CAP1005L	2	Top	315	1260	10670	Yes	No
CAPACITOR_LST	C2L	CAP1005L	2	Top	315	1260	11670	Yes	No
CAPACITOR_LST	C2M	CAP1005L	2	Top	135	10740	11580	Yes	No
CAPACITOR_LST	C2N	CAP1005L	2	Top	135	10740	10580	Yes	No
CAPACITOR_LST	C2O	CAP1005L	2	Top	135	10740	9580	Yes	No
CAPACITOR_LST	C2P	CAP1005L	2	Top	135	10740	8580	Yes	No
CAPACITOR_LST	C2Q	CAP1005L	2	Top	135	10740	7580	Yes	No
CAPACITOR_LST	C2R	CAP1005L	2	Top	135	10740	6580	Yes	No
CAPACITOR_LST	C2S	CAP1005L	2	Top	135	10740	5580	Yes	No
CAPACITOR_LST	C2T	CAP1005L	2	Top	135	10740	4580	Yes	No
CAPACITOR_LST	C2U	CAP1005L	2	Top	135	10740	3580	Yes	No
CAPACITOR_LST	C2V	CAP1005L	2	Top	135	10740	2580	Yes	No
CAPACITOR_LST	C2W	CAP1005L	2	Top	135	10740	1580	Yes	No
CAPACITOR_LST	C2X	CAP1005L	2	Top	135	10740	580	Yes	No
CAPACITOR_LST	C3	CAP1005L	2	Top	0	2042.066	601.934	Yes	No
CAPACITOR_LST	C3A	CAP1005L	2	Top	0	1427.5	660	Yes	No
CAPACITOR_LST	C3B	CAP1005L	2	Top	0	1427.5	1660	Yes	No
CAPACITOR_LST	C3C	CAP1005L	2	Top	0	1427.5	2660	Yes	No
CAPACITOR_LST	C3D	CAP1005L	2	Top	0	1427.5	3660	Yes	No
CAPACITOR_LST	C3E	CAP1005L	2	Top	0	1427.5	4660	Yes	No
CAPACITOR_LST	C3F	CAP1005L	2	Top	0	1427.5	5660	Yes	No
CAPACITOR_LST	C3G	CAP1005L	2	Top	0	1427.5	6660	Yes	No
CAPACITOR_LST	C3H	CAP1005L	2	Top	0	1427.5	7660	Yes	No
CAPACITOR_LST	C3I	CAP1005L	2	Top	0	1427.5	8660	Yes	No
CAPACITOR_LST	C3J	CAP1005L	2	Top	0	1427.5	9660	Yes	No
CAPACITOR_LST	C3K	CAP1005L	2	Top	0	1427.5	10660	Yes	No
CAPACITOR_LST	C3L	CAP1005L	2	Top	0	1427.5	11660	Yes	No
CAPACITOR_LST	C3M	CAP1005L	2	Top	180	10572.5	11590	Yes	No
CAPACITOR_LST	C3N	CAP1005L	2	Top	180	10572.5	10590	Yes	No
CAPACITOR_LST	C3O	CAP1005L	2	Top	180	10572.5	9590	Yes	No
CAPACITOR_LST	C3P	CAP1005L	2	Top	180	10572.5	8590	Yes	No
CAPACITOR_LST	C3Q	CAP1005L	2	Top	180	10572.5	7590	Yes	No
CAPACITOR_LST	C3R	CAP1005L	2	Top	180	10572.5	6590	Yes	No
CAPACITOR_LST	C3S	CAP1005L	2	Top	180	10572.5	5590	Yes	No
CAPACITOR_LST	C3T	CAP1005L	2	Top	180	10572.5	4590	Yes	No
CAPACITOR_LST	C3U	CAP1005L	2	Top	180	10572.5	3590	Yes	No
CAPACITOR_LST	C3V	CAP1005L	2	Top	180	10572.5	2590	Yes	No
CAPACITOR_LST	C3W	CAP1005L	2	Top	180	10572.5	1590	Yes	No
CAPACITOR_LST	C3X	CAP1005L	2	Top	180	10572.5	590	Yes	No
CAPACITOR_LST	C4	CAP1005L	2	Top	0	2040	715	Yes	No
CAPACITOR_LST	C4A	CAP1005L	2	Top	90	1580	675	Yes	No
CAPACITOR_LST	C4B	CAP1005L	2	Top	90	1580	1675	Yes	No
CAPACITOR_LST	C4C	CAP1005L	2	Top	90	1580	2675	Yes	No
CAPACITOR_LST	C4D	CAP1005L	2	Top	90	1580	3675	Yes	No
CAPACITOR_LST	C4E	CAP1005L	2	Top	90	1580	4675	Yes	No
